Year,Region,Sex,Data,age0,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18,age19,age20,age21,age22,age23,age24,age25,age26,age27,age28,age29,age30,age31,age32,age33,age34,age35,age36,age37,age38,age39,age40,age41,age42,age43,age44,age45,age46,age47,age48,age49,age50,age51,age52,age53,age54,age55,age56,age57,age58,age59,age60,age61,age62,age63,age64,age65,age66,age67,age68,age69,age70,age71,age72,age73,age74,age75,age76,age77,age78,age79,age80,age81,age82,age83,age84,age85,age86,age87,age88,age89,age90,age91,age92,age93,age94,age95,age96,age97,age98,age99,age100
1989,CompleteOnly,males,Dx,4353,609,373,244,223,213,208,177,166,152,131,146,118,166,185,253,340,452,423,327,462,606,620,633,636,684,751,850,876,939,876,885,1003,1045,1035,1071,1077,1231,1323,1442,1467,1247,1439,1107,1160,1531,1527,2243,2761,3219,3664,4024,4088,3586,3385,2627,3030,3813,4577,5271,5806,6112,5924,5556,5526,5686,4845,4814,4283,4116,4411,3584,3103,3760,5155,5950,6008,6038,5754,5689,5153,5006,4771,4084,3655,3253,2786,2267,1810,1698,1149,1015,762,579,455,357,297,197,131,75,182
1990,CompleteOnly,males,Dx,4041,573,317,251,215,183,177,180,148,159,129,135,141,173,204,236,295,431,439,323,458,605,654,656,664,661,701,754,817,873,954,991,1042,1091,1085,1187,1191,1265,1437,1502,1742,1820,1432,1709,1342,1384,1696,1784,2645,3168,3642,4278,4568,4664,4174,3849,3067,3441,4231,5097,5874,6263,6611,6560,6242,6069,6137,5084,5028,4588,4388,4566,3770,3272,4021,5491,5910,6170,6141,5713,5663,4877,4764,4658,3760,3423,3030,2600,2057,1629,1531,891,784,582,467,370,245,217,159,89,182
1991,CompleteOnly,males,Dx,4197,545,296,259,244,212,210,232,190,190,143,161,153,158,194,239,323,448,439,414,532,655,566,647,683,717,661,750,876,947,1076,1173,1228,1178,1348,1296,1399,1491,1520,1759,1891,2013,2301,1750,2040,1632,1603,1981,2160,3182,3723,4221,4670,5207,5480,4700,4311,3444,4028,4776,5989,6616,7048,7316,6939,6523,6497,6601,5593,5329,4920,4611,4830,4016,3457,4262,5612,6182,6293,6280,5914,5498,4818,4654,4433,3775,3183,2831,2380,1793,1440,1232,823,627,495,402,294,201,127,107,204
1992,CompleteOnly,males,Dx,4032,543,282,243,243,236,187,168,167,164,128,132,141,174,193,230,321,440,489,471,608,743,664,663,748,782,757,857,966,1082,1143,1231,1275,1388,1383,1526,1528,1636,1715,1916,2072,2222,2475,2541,2108,2452,1877,1908,2256,2335,3658,4083,4819,5555,5991,5955,5321,4793,3661,4116,5323,6372,7224,7335,7866,7483,6991,6916,6804,5824,5619,5037,4800,5039,3777,3393,4128,5575,6108,6173,6046,5741,5221,4639,4360,3941,3345,2695,2391,1936,1526,1189,1009,652,491,367,255,161,119,114,223
1993,CompleteOnly,males,Dx,4065,515,274,245,213,187,185,157,166,162,167,140,175,174,190,236,333,402,501,482,608,679,660,658,736,713,766,807,872,989,1155,1253,1250,1471,1584,1608,1690,1681,1849,1949,2150,2345,2436,2686,2775,2383,2719,2074,2070,2533,2793,3945,4663,5207,5960,6578,6703,5722,5197,4033,4654,5610,6931,7714,8081,8531,8199,7615,7316,7220,6306,5856,5271,4971,5276,4226,3608,4230,5596,6334,6223,6034,5501,5160,4421,4068,3908,2999,2379,2091,1679,1216,966,766,455,357,284,203,128,89,212
1994,CompleteOnly,males,Dx,3713,493,269,226,212,197,171,190,171,180,164,139,155,134,208,239,331,467,543,572,660,787,743,767,824,844,839,925,947,1032,1227,1280,1450,1501,1674,1684,1797,1947,1931,2148,2332,2256,2774,2715,3039,3267,2630,3012,2446,2254,2910,2895,4356,5030,5668,6656,7157,7327,6334,5607,4619,4959,6076,7253,8246,8683,8795,8651,8033,7712,7809,6509,6127,5345,5196,5333,4100,3496,4234,5446,5978,5890,5703,5131,4516,4001,3534,3231,2537,1944,1736,1251,932,700,555,327,203,162,122,102,171
1995,CompleteOnly,males,Dx,3521,508,270,172,216,180,181,173,171,144,146,144,156,155,195,254,320,480,482,597,710,772,796,798,871,916,901,1021,1070,1112,1305,1430,1508,1660,1865,1987,2099,2108,2272,2375,2739,2695,2843,3301,3340,3756,3910,3119,3692,2848,2990,3214,3442,4991,5856,6584,7432,8054,8001,6824,6375,4738,5362,6755,7898,8906,8974,9289,8848,8177,7984,7845,6607,6158,5361,5199,5193,4197,3518,4181,5426,5747,5532,5299,4658,4103,3482,3192,2636,2047,1687,1401,956,688,470,482,202,143,99,72,148
1996,CompleteOnly,males,Dx,3228,459,251,199,179,136,157,166,167,131,144,124,121,177,169,219,282,391,493,567,674,788,750,787,837,906,929,913,1038,1111,1205,1233,1409,1546,1706,1932,2129,2191,2161,2375,2571,2619,2807,2918,3280,3571,3752,4054,3284,3828,3135,2856,3405,3448,5129,5915,6852,7604,8178,8151,7445,6481,4980,5513,6710,7895,8540,9013,9261,8951,8196,7913,7660,6424,5855,5288,4945,5028,3836,3246,3810,4862,5316,5139,4778,4046,3522,2912,2656,2152,1646,1212,943,703,487,368,317,139,94,57,144
1997,CompleteOnly,males,Dx,3041,444,236,149,160,156,137,117,123,133,135,138,131,150,167,192,269,363,449,492,643,671,753,775,826,834,843,836,924,922,1040,1172,1185,1417,1612,1748,1868,2081,2268,2342,2547,2538,2791,2836,2900,3368,3407,3964,4068,3356,3958,2803,2879,3503,3503,5229,5867,6784,7500,8215,8642,7220,6519,5026,5547,6700,8000,8948,9010,9325,9066,8099,7838,7425,6205,5867,5035,4785,4684,3667,3101,3541,4533,4622,4385,4178,3405,3222,2382,2066,1763,1193,892,691,506,317,228,221,81,62,124
1998,CompleteOnly,males,Dx,2692,359,225,150,141,141,115,157,137,126,150,134,128,140,190,224,293,350,416,470,613,706,724,767,777,825,950,905,842,937,1051,1049,1169,1244,1467,1654,1714,1806,2036,2169,2410,2355,2405,2740,2712,2934,3221,3402,3732,3990,3354,3647,2693,2788,3317,3409,4927,5570,6271,7466,8388,8079,6922,6187,4718,5329,6526,7844,8588,8975,8967,8550,7888,7415,6949,5960,5572,4870,4419,4374,3349,2821,3190,3879,4172,3804,3452,3024,2479,1918,1703,1358,985,733,493,358,242,143,131,43,105
