Year,Region,Sex,Age,ax
1989,CompleteOnly,males,0,0.195037905
1990,CompleteOnly,males,0,0.190546894
1991,CompleteOnly,males,0,0.167500596
1992,CompleteOnly,males,0,0.186259921
1993,CompleteOnly,males,0,0.188191882
1994,CompleteOnly,males,0,0.20818745
1995,CompleteOnly,males,0,0.187162738
1996,CompleteOnly,males,0,0.219330855
1997,CompleteOnly,males,0,0.193357448
1998,CompleteOnly,males,0,0.182020802
1999,CompleteOnly,males,0,0.179911255
2000,CompleteOnly,males,0,0.184059886
2001,CompleteOnly,males,0,0.177252585
2002,CompleteOnly,males,0,0.178102926
2003,CompleteOnly,males,0,0.18002051
2004,CompleteOnly,males,0,0.181866384
2005,CompleteOnly,males,0,0.167582418
2006,CompleteOnly,males,0,0.169244604
2007,CompleteOnly,males,0,0.160658915
2008,CompleteOnly,males,0,0.151836158
2009,CompleteOnly,males,0,0.154321715
2010,CompleteOnly,males,0,0.154370301
2011,CompleteOnly,males,0,0.150950999
2012,CompleteOnly,males,0,0.157627191
2013,CompleteOnly,males,0,0.153884105
2014,CompleteOnly,males,0,0.147862554
2015,CompleteOnly,males,0,0.15813537
2016,CompleteOnly,males,0,0.149872449
2017,CompleteOnly,males,0,0.154276242
2018,CompleteOnly,males,0,0.15682546
2019,CompleteOnly,males,0,0.147069678
2020,CompleteOnly,males,0,0.131660169
2021,CompleteOnly,males,0,0.151685393
1989,CompleteOnly,females,0,0.211393274
1990,CompleteOnly,females,0,0.221873912
1991,CompleteOnly,females,0,0.197636244
1992,CompleteOnly,females,0,0.209055536
1993,CompleteOnly,females,0,0.209624499
1994,CompleteOnly,females,0,0.227132975
1995,CompleteOnly,females,0,0.220763723
1996,CompleteOnly,females,0,0.225248595
1997,CompleteOnly,females,0,0.218303146
1998,CompleteOnly,females,0,0.20233463
1999,CompleteOnly,females,0,0.215456674
2000,CompleteOnly,females,0,0.198270126
2001,CompleteOnly,females,0,0.200966851
2002,CompleteOnly,females,0,0.202194357
2003,CompleteOnly,females,0,0.187352478
2004,CompleteOnly,females,0,0.193322214
2005,CompleteOnly,females,0,0.179518211
2006,CompleteOnly,females,0,0.176369863
2007,CompleteOnly,females,0,0.16865547
2008,CompleteOnly,females,0,0.157294758
2009,CompleteOnly,females,0,0.159313725
2010,CompleteOnly,females,0,0.164804314
2011,CompleteOnly,females,0,0.150163399
2012,CompleteOnly,females,0,0.15353415
2013,CompleteOnly,females,0,0.164402839
2014,CompleteOnly,females,0,0.151601109
2015,CompleteOnly,females,0,0.155829596
2016,CompleteOnly,females,0,0.163836343
2017,CompleteOnly,females,0,0.1526264
2018,CompleteOnly,females,0,0.160391566
2019,CompleteOnly,females,0,0.150210854
2020,CompleteOnly,females,0,0.141845026
2021,CompleteOnly,females,0,0.13952885
