geo,measure,sex,year,age0,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18,age19,age20,age21,age22,age23,age24,age25,age26,age27,age28,age29,age30,age31,age32,age33,age34,age35,age36,age37,age38,age39,age40,age41,age42,age43,age44,age45,age46,age47,age48,age49,age50,age51,age52,age53,age54,age55,age56,age57,age58,age59,age60,age61,age62,age63,age64,age65,age66,age67,age68,age69,age70,age71,age72,age73,age74,age75,age76,age77,age78,age79,age80,age81,age82,age83,age84,age85,age86,age87,age88,age89,age90,age91,age92,age93,age94,age95,age96,age97,age98,age99,age100
BG,deaths,F,2000,431,43,19,9,11,14,11,11,4,12,10,6,10,9,12,20,21,19,29,28,29,31,26,28,38,30,33,29,28,27,42,46,49,48,53,43,51,78,88,83,97,98,123,136,115,140,154,182,175,219,263,256,272,298,308,345,346,368,349,455,488,523,541,664,730,839,1012,1046,1040,1251,1295,1530,1658,1879,1974,2154,2284,2335,2469,2358,2581,1582,1139,1008,1589,2124,1427,1432,1415,1212,1002,700,592,459,333,236,139,86,43,41,49
BG,deaths,F,2001,434,35,17,11,19,9,10,10,5,13,5,7,7,13,14,13,12,27,23,25,26,24,32,28,28,31,23,31,32,37,39,44,47,47,38,42,59,60,77,89,88,80,106,123,119,159,156,174,203,203,252,242,278,293,284,342,312,357,382,408,472,473,468,605,692,780,884,977,1060,1177,1306,1359,1540,1727,1883,2037,2201,2390,2373,2499,2367,2551,1478,1061,956,1493,1921,1261,1280,1165,945,778,557,447,295,250,145,109,66,37,54
BG,deaths,F,2002,392,30,19,13,12,11,9,5,10,8,5,4,9,14,9,12,12,15,15,19,27,22,26,28,24,23,19,26,32,27,32,34,43,50,54,42,60,72,76,79,87,96,83,118,112,148,146,174,177,200,224,278,305,282,310,343,371,378,376,388,437,449,549,532,650,749,813,942,1125,1169,1250,1384,1437,1655,1824,2092,2249,2351,2436,2460,2507,2372,2417,1514,1085,850,1393,1854,1111,1050,987,841,626,477,349,237,162,111,76,38,50
BG,deaths,F,2003,343,32,17,13,13,5,6,4,5,5,10,11,14,8,12,13,14,15,20,17,29,28,10,16,28,28,35,25,33,39,35,31,38,45,55,50,50,61,61,75,94,90,98,96,134,129,152,163,185,189,221,214,266,309,313,337,340,401,374,384,431,459,484,579,615,703,761,882,1077,1135,1305,1315,1480,1509,1750,1890,2103,2213,2384,2478,2480,2613,2344,2334,1330,985,768,1244,1582,913,942,862,634,503,334,217,156,119,80,41,63
BG,deaths,F,2004,340,33,20,16,18,4,2,5,4,9,8,14,15,11,14,17,11,18,14,17,17,18,26,23,23,26,35,25,26,34,32,34,45,44,52,55,60,63,64,79,60,94,103,101,132,131,165,159,188,230,205,261,230,298,331,325,366,398,427,360,433,449,475,510,600,631,728,794,913,1119,1269,1273,1377,1542,1701,1706,1945,2166,2192,2416,2497,2354,2495,2259,2186,1266,804,719,1055,1342,771,758,657,481,353,246,168,105,63,36,65
BG,deaths,F,2005,310,32,13,10,3,11,8,6,11,5,10,4,12,12,11,15,11,18,25,22,26,22,16,16,26,26,42,15,37,29,41,33,31,33,48,48,62,65,64,69,64,83,108,101,122,144,149,170,200,223,200,233,232,278,324,340,367,374,396,475,466,475,528,576,562,681,721,769,896,974,1292,1428,1454,1487,1750,1806,1986,2185,2276,2563,2462,2509,2480,2524,2214,2158,1196,773,625,930,1121,678,599,531,369,254,154,111,63,37,69
BG,deaths,F,2006,349,20,16,10,10,11,14,7,12,8,8,5,7,5,16,12,13,16,23,15,18,23,13,27,21,21,21,33,15,24,40,32,38,50,36,53,58,76,63,62,75,98,93,124,120,129,144,160,182,189,238,237,241,293,324,330,406,392,429,446,475,462,518,560,583,677,697,759,832,952,1151,1311,1451,1602,1636,1881,1966,2060,2175,2433,2462,2597,2602,2451,2486,2074,2007,1083,676,584,742,919,496,464,396,266,191,100,74,49,84
BG,deaths,F,2007,302,29,17,15,2,10,10,7,4,4,8,6,6,12,13,3,15,11,26,26,17,23,21,22,23,24,26,35,28,25,37,30,44,39,44,63,51,67,68,49,68,63,79,114,123,133,128,167,155,179,191,237,253,292,283,329,352,420,463,439,466,522,537,553,558,637,687,753,745,883,1058,1148,1358,1609,1700,1797,1897,2068,2178,2303,2473,2659,2535,2635,2425,2300,1993,1805,1012,615,442,692,791,405,370,289,213,139,68,49,84
BG,deaths,F,2008,303,22,11,14,13,5,11,10,6,9,8,6,11,9,7,12,14,18,17,20,20,22,17,20,26,24,17,15,22,34,29,39,39,30,59,50,56,53,58,74,65,73,74,86,108,129,145,157,145,171,202,206,229,284,303,314,342,389,463,401,420,457,601,534,576,647,640,721,720,838,988,1049,1275,1443,1660,1734,1806,2038,2076,2193,2352,2455,2614,2441,2497,2240,2176,1738,1663,959,544,390,494,586,312,282,212,111,104,40,78
BG,deaths,F,2009,307,30,18,11,9,6,5,6,4,5,5,3,9,4,9,10,8,11,21,19,15,16,20,14,22,26,29,14,33,28,37,31,30,45,55,39,53,53,61,68,68,69,77,97,89,116,134,155,156,182,196,204,213,259,302,325,321,346,385,455,481,497,504,604,601,562,657,697,782,876,908,1011,1133,1349,1568,1703,1820,1853,2062,2087,2146,2284,2456,2475,2364,2291,2032,1912,1589,1359,750,467,309,444,440,240,192,158,91,54,73
