year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2021,200,Ukraine,UKR,UKR,9,Argentina,ARG,ARG,121,84,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,10,Armenia,ARM,ARM,117,0,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,11,Australia,AUL,AUS,18,99,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,12,Austria,AUS,AUT,253,113,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,13,Azerbaijan,AZE,AZE,5,0,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,17,Belgium,BEL,BEL,289,155,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,24,Belarus,BLR,BLR,2378,14,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,25,Bolivia (Plurinational State of),BOL,BOL,5,0,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,27,Brazil,BRA,BRA,20,83,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,30,Bulgaria,BUL,BGR,0,6,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,33,Canada,CAN,CAN,1228,98,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,45,Costa Rica,COS,CRI,13,5,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,48,Cyprus,CYP,CYP,31,64,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,49,Czechia,CZE,CZE,225,120,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,50,Denmark,DEN,DNK,29,14,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,54,Ecuador,ECU,ECU,15,0,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,57,Estonia,EST,EST,28,0,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,61,Finland,FIN,FIN,11,14,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,64,France,FRA,FRA,2801,588,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,70,United Kingdom of Great Britain and Northern Ireland,GBR,GBR,225,266,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,71,Georgia,GEO,GEO,481,0,0,0,0,0,0,NA,0
2021,200,Ukraine,UKR,UKR,72,Germany,GFR,DEU,918,1328,0,0,0,0,0,NA,0
