key,date,value,low,high,statement,source,url
military_killed_official,2024-02-25,31000,,,"31,000 Ukrainian soldiers killed since 24 February 2022","President Zelensky, press conference in Kyiv (CBC, 25 Feb 2024)",https://www.cbc.ca/lite/story/1.7125205
military_killed_official,2024-12-08,43000,,,"43,000 killed and 370,000 wounded treated since 24 February 2022","President Zelensky, Telegram (Ukrainska Pravda, 8 Dec 2024)",https://www.pravda.com.ua/eng/news/2024/12/08/7488226/
military_killed_official,2025-02-16,46000,,,"over 46,000 killed and nearly 380,000 wounded","President Zelensky, interview with NBC (Kyiv Independent, 16 Feb 2025)",https://kyivindependent.com/over-46-000-ukrainian-soldiers-killed-since-start-of-war-zelensky-says/
military_killed_official,2026-02-04,55000,,,"55,000 soldiers killed on the battlefield, besides a large number missing","President Zelensky, interview with France 2 (Al Jazeera, 5 Feb 2026)",https://aljazeera.com/news/2026/2/5/zelenskyy-reveals-55000-ukrainian-soldiers-killed-fighting-against-russia
military_killed_official,2026-07-31,50000,,,"about 50,000 soldiers killed and about 400,000 wounded, and a huge number disappeared","President Zelensky, interview with Fox News (Ukrainska Pravda, 31 Jul 2026)",https://www.pravda.com.ua/eng/news/2026/07/31/8046685/
military_killed_estimate,2023-08-18,70000,,,"close to 70,000 Ukrainian soldiers killed and 100,000-120,000 wounded","US officials, New York Times (Ukrainska Pravda, 18 Aug 2023)",https://www.pravda.com.ua/eng/news/2023/08/18/7416162/
military_killed_estimate,2025-12-31,,100000,140000,"100,000-140,000 Ukrainian military fatalities, February 2022 to December 2025","Center for Strategic and International Studies, Russia's Grinding War in Ukraine (Jan 2026)",https://www.csis.org/analysis/russias-grinding-war-ukraine
returned_military,2025-09-30,6954,,,"military returned from captivity since 24 Feb 2022 (234 women, 6,720 men); civilians 759; 68 exchanges","Coordination Headquarters for the Treatment of Prisoners of War, report for September 2025",https://koordshtab.gov.ua/report
returned_military,2025-11-30,7138,,,"military returned (234 women, 6,904 men); civilians 810; 70 exchanges","Coordination Headquarters, report for November 2025",https://koordshtab.gov.ua/report
returned_military,2026-02-28,7291,,,"military returned (235 women, 7,056 men); civilians 876; 71 exchanges","Coordination Headquarters, report for February 2026",https://koordshtab.gov.ua/report
returned_military,2026-04-30,8161,,,"military returned (235 women, 7,926 men); civilians 890; 73 exchanges","Coordination Headquarters, report for April 2026",https://koordshtab.gov.ua/report
returned_military,2026-08-31,8822,,,"military returned (235 women, 8,587 men); civilians 906; 77 exchanges","Coordination Headquarters, report for August 2026",https://koordshtab.gov.ua/report
bodies_repatriated,2025-09-30,12744,,,"bodies of the fallen returned to Ukraine since 24 Feb 2022, 81 repatriations","Coordination Headquarters, report for September 2025",https://koordshtab.gov.ua/report
bodies_repatriated,2025-11-30,14744,,,"bodies returned, 83 repatriations","Coordination Headquarters, report for November 2025",https://koordshtab.gov.ua/report
bodies_repatriated,2026-04-30,24805,,,"bodies returned, 87 repatriations","Coordination Headquarters, report for April 2026",https://koordshtab.gov.ua/report
bodies_repatriated,2026-08-31,26617,,,"bodies returned, 91 repatriations","Coordination Headquarters, report for August 2026",https://koordshtab.gov.ua/report
pow_held,2026-02-14,7000,,,"about 7,000 Ukrainian prisoners of war held by Russia","President Zelensky, Munich (Ukrinform, 14 Feb 2026)",https://www.ukrinform.net/rubric-ato/4091529-ukraine-holds-over-4000-russian-pows-zelensky.html
registered_deaths,2021-12-31,714260,,,"deaths registered in 2021","Ministry of Justice (Interfax-Ukraine, 24 Jan 2026)",https://en.interfax.com.ua/news/general/1139168.html
registered_deaths,2023-12-31,496240,,,"deaths registered in 2023: 2024's 495,090 plus the 1,150 by which they fell","Ministry of Justice (Kyiv Independent, 2025)",https://kyivindependent.com/almost-3-times-more-people-died-in-ukraine-than-were-born-in-2024-data-shows/
