analysis,supplementary_table,military_deaths,male_loss_2022,male_loss_2025,female_loss_2025
Every input at its mode,,"175,818",4.71,6.28,0.129
Share of the never-resolved missing alive: 95% interval of its distribution,A6,"163,543 - 176,657",4.57 - 4.72,5.78 - 6.32,0.128 - 0.129
Share of the never-resolved missing alive: floor to cap,A6,"153,196 - 176,889",4.45 - 4.72,5.35 - 6.33,0.128 - 0.129
"Registration lag: no correction, or corrected to 60 or 72 months","A10, A16","167,259 - 185,379",4.70 - 4.85,5.79 - 6.61,0.127 - 0.130
"Linkage rules, resolution model and prisoner-of-war evidence: nine alternatives",A9,"168,661 - 180,750",4.66 - 4.72,5.97 - 6.55,0.129
Population base of Donetsk and Luhansk: 0.5 million lower to taken out,A11,"175,818",4.76 - 5.45,6.36 - 7.35,0.131 - 0.156
"Timing within 2022: mid-year convention, or net outflow by 1 April",A11,"175,818",4.64 - 4.74,6.28,0.129
"Counterfactual: Lee-Carter window, and the forecast one SD lower or higher",A12,"175,818",4.41 - 4.84,5.84 - 6.54,0.117 - 0.131
Net migration: each component across its range,A7,"175,818",4.68 - 4.75,6.23 - 6.35,0.125 - 0.134
Specification of the net migration input,A8,"175,818",4.68 - 4.74,6.24 - 6.37,0.125 - 0.133
No net migration,A7,"175,818",4.47,5.63,0.102
