check,scenario,male_2022,male_2023,male_2024,female_2025,male_2025
Population base of Donetsk and Luhansk,SSSU (used),4.72,4.16,5.64,0.129,6.38
Population base of Donetsk and Luhansk,Donetsk and Luhansk 0.5 million lower,4.78,4.21,5.71,0.131,6.45
Population base of Donetsk and Luhansk,Donetsk and Luhansk 1.0 million lower,4.83,4.26,5.77,0.133,6.53
Population base of Donetsk and Luhansk,Donetsk and Luhansk a quarter lower,4.89,4.31,5.85,0.135,6.62
Population base of Donetsk and Luhansk,Donetsk and Luhansk half lower,5.07,4.47,6.07,0.141,6.87
Population base of Donetsk and Luhansk,Donetsk and Luhansk taken out,5.47,4.84,6.57,0.156,7.46
Timing of 2022's deaths and departures,months of the events (used),4.72,4.16,5.64,0.129,6.38
Timing of 2022's deaths and departures,mid-year convention,4.65,4.16,5.64,0.129,6.38
Timing of 2022's deaths and departures,"deaths at their months, net outflow mid-year",4.65,4.16,5.64,0.129,6.38
Timing of 2022's deaths and departures,net outflow at 1 April,4.75,4.16,5.64,0.129,6.38
