share_of_missing_alive,evidence,missing_alive,prisoners_of_war_among_missing,share_alive_outside_captivity,total_military_deaths,male_e0_loss_2025,female_e0_loss_2025
0.006,floor,584,584,0,182768,6.71,0.128
0.015,2.5th percentile of draws,1403,844,0.006,181948,6.67,0.128
0.039,central,3622,1552,0.023,179730,6.56,0.128
0.064,97.5th percentile of draws,5858,2644,0.036,177494,6.46,0.128
0.082,cap,7524,3466,0.046,175828,6.39,0.128
0.1,NA,9172,3466,0.065,174180,6.31,0.128
0.15,NA,13758,3466,0.117,169594,6.1,0.128
0.2,NA,18344,3466,0.169,165008,5.89,0.128
0.25,NA,22930,3466,0.221,160422,5.67,0.127
0.3,NA,27516,3466,0.273,155836,5.46,0.127
0.4,NA,36688,3466,0.376,146664,5.02,0.127
0.5,NA,45860,3466,0.48,137492,4.58,0.126
0.6,NA,55031,3466,0.584,128320,4.14,0.126
0.7,NA,64203,3466,0.688,119148,3.68,0.125
0.8,NA,73375,3466,0.792,109976,3.23,0.125
1,all of the missing alive,91719,3466,1,91632,2.3,0.124
