cohort,window,missing_at_risk,missing_no_longer_listed,missing_pct,dead_at_risk,dead_dropped,dead_pct
2022,v14-v16,8928,273,3.06,20230,94,0.46
2022,v16-v18,8621,60,0.7,20248,152,0.75
2022,v18-v19,8715,476,5.46,20370,188,0.92
2023,v14-v16,11739,47,0.4,23007,71,0.31
2023,v16-v18,11551,25,0.22,23075,176,0.76
2023,v18-v19,11192,101,0.9,23264,183,0.79
2024,v14-v16,30077,100,0.33,20205,71,0.35
2024,v16-v18,29184,106,0.36,20444,101,0.49
2024,v18-v19,27764,263,0.95,20834,124,0.6
2025,v14-v16,26416,72,0.27,8999,60,0.67
2025,v16-v18,35797,154,0.43,11585,103,0.89
2025,v18-v19,40069,284,0.71,13821,45,0.33
