row,months_since_event,dead,prisoner,no_longer_listed
monthly hazard (%),0-3,0.875,0,0
monthly hazard (%),3-6,0.526,0.242,0
monthly hazard (%),6-9,0.422,0.231,0.068
monthly hazard (%),9-12,0.681,0.245,0.021
monthly hazard (%),12-18,1.222,0.194,0.038
monthly hazard (%),18-24,1.22,0.227,0.046
monthly hazard (%),24-30,1.056,0.291,0.051
monthly hazard (%),30-36,0.598,0.313,0.039
monthly hazard (%),36-42,0.392,0.372,0.2
monthly hazard (%),42-48,0.416,0.265,0.458
monthly hazard (%),48-60,0.288,1.544,0.205
multiplier against the first window,v14-v16,1,1,1
multiplier against the first window,v16-v18,1.076,0.192,0
multiplier against the first window,v18-v19,1.086,50.694,0.948
