case,fitted_on,predicted_window,outcome,missing_at_start,observed,predicted,predicted_over_observed
A,v15 + v16 + v17 + v18,v14,dead,77188,743,1020,1.37
A,v15 + v16 + v17 + v18,v14,prisoner,77188,29,323,11.12
A,v15 + v16 + v17 + v18,v14,no_longer_listed,77188,221,53,0.24
B,v14 + v16 + v17 + v18,v15,dead,81090,838,691,0.82
B,v14 + v16 + v17 + v18,v15,prisoner,81090,2,215,107.49
B,v14 + v16 + v17 + v18,v15,no_longer_listed,81090,10,59,6.12
C,v14 + v15 + v17 + v18,v16,dead,85219,1632,1450,0.89
C,v14 + v15 + v17 + v18,v16,prisoner,85219,12,511,42.62
C,v14 + v15 + v17 + v18,v16,no_longer_listed,85219,0,154,Inf
D,v14 + v15 + v16 + v18,v17,dead,88272,1768,1860,1.05
D,v14 + v15 + v16 + v18,v17,prisoner,88272,0,724,Inf
D,v14 + v15 + v16 + v18,v17,no_longer_listed,88272,0,216,Inf
E,v14 + v15 + v16 + v17,v18,dead,87617,2208,2100,0.95
E,v14 + v15 + v16 + v17,v18,prisoner,87617,2498,25,0.01
E,v14 + v15 + v16 + v17,v18,no_longer_listed,87617,338,145,0.43
