what,year,sex,interval,mean,lo,hi
"Military deaths, 2022-2025",NA,NA,drawn inputs,178348,172253,182049
"Military deaths, 2022-2025",NA,NA,drawn inputs and structural choices,186759,175142,197331
"Conflict deaths, 2022-2025",NA,NA,drawn inputs,210839,201789,220371
"Conflict deaths, 2022-2025",NA,NA,drawn inputs and structural choices,219250,205469,233063
Loss of life expectancy,2022,f,drawn inputs,1.22,0.91,1.62
Loss of life expectancy,2022,f,drawn inputs and structural choices,1.01,0.46,1.53
Loss of life expectancy,2022,m,drawn inputs,4.55,4.02,5.13
Loss of life expectancy,2022,m,drawn inputs and structural choices,4.45,3.65,5.24
Loss of life expectancy,2023,f,drawn inputs,0.16,0.13,0.19
Loss of life expectancy,2023,f,drawn inputs and structural choices,0.15,0.12,0.19
Loss of life expectancy,2023,m,drawn inputs,4.16,3.89,4.42
Loss of life expectancy,2023,m,drawn inputs and structural choices,4.38,4.04,4.71
Loss of life expectancy,2024,f,drawn inputs,0.13,0.11,0.16
Loss of life expectancy,2024,f,drawn inputs and structural choices,0.14,0.11,0.16
Loss of life expectancy,2024,m,drawn inputs,5.73,5.3,6.13
Loss of life expectancy,2024,m,drawn inputs and structural choices,6.12,5.57,6.67
Loss of life expectancy,2025,f,drawn inputs,0.14,0.12,0.16
Loss of life expectancy,2025,f,drawn inputs and structural choices,0.14,0.12,0.17
Loss of life expectancy,2025,m,drawn inputs,6.59,6.01,7.13
Loss of life expectancy,2025,m,drawn inputs and structural choices,7.15,6.37,7.9
