year,role,Females,Males
2022,Civilians,1.180 (0.884-1.598),1.473 (1.098-1.997)
2023,Civilians,0.143 (0.121-0.172),0.158 (0.132-0.192)
2024,Civilians,0.117 (0.097-0.140),0.125 (0.103-0.152)
2025,Civilians,0.114 (0.099-0.140),0.152 (0.129-0.190)
2022,Registered combatants,0.028 (0.027-0.029),2.404 (2.274-2.526)
2023,Registered combatants,0.014 (0.013-0.014),2.824 (2.638-2.995)
2024,Registered combatants,0.017 (0.016-0.018),2.733 (2.530-2.920)
2025,Registered combatants,0.016 (0.015-0.017),1.899 (1.744-2.036)
2022,Late registrations (estimated),0.000 (0.000-0.000),0.007 (0.005-0.010)
2023,Late registrations (estimated),0.000 (0.000-0.001),0.089 (0.074-0.111)
2024,Late registrations (estimated),0.001 (0.001-0.002),0.215 (0.189-0.247)
2025,Late registrations (estimated),0.003 (0.002-0.003),0.298 (0.269-0.330)
2022,Missing combatants (imputed),0.001 (0.001-0.001),0.883 (0.833-0.930)
2023,Missing combatants (imputed),0.000 (0.000-0.000),1.129 (1.051-1.202)
2024,Missing combatants (imputed),0.001 (0.001-0.001),2.701 (2.492-2.897)
2025,Missing combatants (imputed),0.004 (0.004-0.004),4.298 (3.938-4.632)
