year,group,mean,lo,hi
2022,Men aged 20-50,8.561,8.529,8.593
2023,Men aged 20-50,8.199,8.13,8.267
2024,Men aged 20-50,7.875,7.806,7.944
2025,Men aged 20-50,7.504,7.449,7.555
2022,"Men, all ages",17.681,17.541,17.82
2023,"Men, all ages",16.748,16.5,16.997
2024,"Men, all ages",16.214,15.956,16.468
2025,"Men, all ages",15.666,15.444,15.881
2022,"Both sexes, all ages",37.228,36.817,37.633
2023,"Both sexes, all ages",34.867,34.191,35.537
2024,"Both sexes, all ages",34.032,33.323,34.739
2025,"Both sexes, all ages",33.308,32.65,33.956
