alpha,evidence_range,total_military_deaths,male_e0_loss_2025,female_e0_loss_2025
0,NA,176994,6.29,0.128
0.009,floor,176266,6.26,0.128
0.029,2.5th percentile of draws,174646,6.2,0.127
0.05,NA,172906,6.12,0.127
0.086,central,169993,6,0.127
0.1,NA,168818,5.95,0.127
0.15,NA,164730,5.78,0.127
0.165,97.5th percentile of draws,163542,5.73,0.127
0.2,NA,160643,5.61,0.127
0.203,cap,160387,5.6,0.127
0.25,NA,156554,5.44,0.127
0.3,NA,152467,5.26,0.127
0.35,NA,148379,5.09,0.127
0.4,NA,144290,4.91,0.126
0.45,NA,140202,4.74,0.126
0.5,NA,136114,4.56,0.126
0.55,NA,132027,4.38,0.126
0.6,NA,127939,4.2,0.126
0.65,NA,123851,4.03,0.126
0.7,NA,119762,3.84,0.126
0.75,NA,115674,3.66,0.126
0.8,NA,111587,3.48,0.125
0.85,NA,107500,3.3,0.125
0.9,NA,103412,3.11,0.125
0.95,NA,99323,2.93,0.125
1,NA,95235,2.74,0.125
