share_of_missing_alive,evidence,missing_alive,prisoners_of_war_among_missing,share_of_unresolved_alive_otherwise,total_military_deaths,male_e0_loss_2025,female_e0_loss_2025
0.04,floor,3620,584,0,179759,6.55,0.128
0.045,2.5th percentile of draws,4147,897,0.003,179232,6.52,0.128
0.057,central,5242,1552,0.009,178136,6.46,0.128
0.075,97.5th percentile of draws,6858,2155,0.023,176521,6.39,0.128
0.1,NA,9160,3024,0.044,174219,6.28,0.128
0.113,cap,10318,3466,0.054,173061,6.23,0.128
0.15,NA,13740,3466,0.103,169638,6.08,0.128
0.2,NA,18320,3466,0.168,165059,5.9,0.128
0.25,NA,22900,3466,0.233,160478,5.71,0.127
0.3,NA,27480,3466,0.298,155899,5.52,0.127
0.4,NA,36640,3466,0.429,146738,5.13,0.127
0.5,NA,45800,3466,0.559,137579,4.74,0.126
0.6,NA,54960,3466,0.689,128418,4.35,0.126
0.7,NA,64120,3466,0.82,119259,3.95,0.126
0.8,NA,73280,3466,0.95,110098,3.55,0.125
0.838,all but the projected deaths,76789,3466,1,106589,3.39,0.125
